data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-05-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,205,19,224,6668,6892,6,112,63797,2453,,,73142,1509686,642943,,0,,,73142,0,1068790,440896,ITF,ITF1
2021-05-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,110,9,119,5122,5241,-76,119,19732,562,,,25535,357606,197010,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 21 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA.",0,,,25535,0,342423,15183,ITF,ITF5
2021-05-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,380,25,405,11929,12334,-11,193,50965,1109,,,64408,824238,759389,,0,,,64395,13,787529,36709,ITF,ITF6
2021-05-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1196,102,1298,78860,80158,-493,946,323754,6805,,,410717,4664379,3043760,,6,,,399129,11588,4178000,486379,ITF,ITF3
2021-05-15T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,1057,160,1217,23502,24719,-2173,530,341330,13081,,,379130,5955782,1828510,"Sono stati eliminati 7 casi, positivi a test antigenico ma non confermati da tampone molecolare.",9,,,378817,313,4610023,1345759,ITH,ITH5
2021-05-15T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,74,16,90,5691,5781,-102,68,96923,3768,,,106472,1942574,667568,,1,,,91862,14610,1656228,286346,ITH,ITH4
2021-05-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1591,233,1824,32043,33867,-874,621,294038,7992,,,335897,6594948,4153128,,9,,,327805,8092,4519364,2075584,ITI,ITI4
2021-05-15T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,290,52,342,2775,3117,-90,97,94307,4278,,,101702,1533469,615497,,3,,In Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare,101702,0,1242813,290656,ITC,ITC3
2021-05-15T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,2159,390,2549,36177,38726,37,1154,752638,33329,,,824693,10110605,4060617,,7,,,773828,50865,8541824,1568781,ITC,ITC4
2021-05-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,269,47,316,4397,4713,-90,149,93106,2990,,,100809,1187950,707398,,2,,,100809,0,1061410,126540,ITI,ITI3
