data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2022-10-26T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,169,7,176,14787,14963,-798,915,566261,3704,,,584928,6982704,1332855,"Del totale dei decessi comunicati in data odierna, 2 casi sono avvenuti nei giorni scorsi e comunicati oggi 1 dalla ASL di Teramo e uno dalla ASL di Avezzano - Sulmona - L'Aquila. Dal totale dei casi positivi è stato eliminato 1 caso in quanto duplicato.",0,,,227943,356985,2511968,4470736,ITF,ITF1
2022-10-26T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,33,1,34,4898,4932,-175,142,182466,989,,,188387,1259103,390940,Il dato relativo al numero dei “Casi in isolamento domiciliare” ed ai “Guariti” è in corso di revisione.,0,,,70341,118046,692304,566799,ITF,ITF5
2022-10-26T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,137,5,142,9650,9792,-392,691,565616,3055,,,578463,3894987,2993938,,0,,L'Asp di Cosenza  comunica 241 nuovi soggetti positivi di cui 3 fuori regione .,197494,380969,1814644,2080343,ITF,ITF6
2022-10-26T17:00:00,ITA,15,Campania,40.83956555,14.25084984,272,11,283,43548,43831,0,2009,2231300,11285,,,2286416,19284998,5263495,,1,,,943576,1342840,9271544,10013454,ITF,ITF3
2022-10-26T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,1114,28,1142,39266,40408,101,3384,1890833,18212,,,1949453,18220318,2901079,"Sono stati eliminati 2 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",2,,,1051602,897851,10199846,8020472,ITH,ITH5
2022-10-26T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,206,5,211,9949,10160,-824,1010,506811,5558,,,522529,7294489,1219574,"Il totale dei casi positivi è stato ridotto di 4 a seguito di 4 test positivi rimossi dopo revisione del caso (2 casi relativi alla provincia di UD, 1 caso relativo alla provincia di PN e 1 caso relativo alla provincia di TS).                		 A seguito di una verifica sui sistemi informativi il totale dei decessi associati a COVID-19 è stato ridotto di 1 (caso relativo alla provincia di UD).		",0,,,228711,293818,3679095,3615394,ITH,ITH4
2022-10-26T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,629,31,660,57279,57939,-1225,3279,2086847,12204,,,2156990,24506844,5961059,,3,,,1022093,1134897,9362602,15144242,ITI,ITI4
2022-10-26T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,238,10,248,8693,8941,-33,936,587253,5618,,,601812,6422819,1457417,,0,,*di cui 36480  reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021]. ,267183,334629,2614209,3808610,ITC,ITC3
2022-10-26T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,1155,22,1177,81603,82780,3210,6216,3635728,43012,,,3761520,42455660,8890624,,2,,,1505068,2256452,16689794,25765866,ITC,ITC4
2022-10-26T17:00:00,ITA,11,Marche,43.61675973,13.5188753,153,7,160,7741,7901,-121,844,638871,4155,,,650927,3598877,2596580,,2,,,221060,429867,2010171,1588706,ITI,ITI3
2022-10-26T17:00:00,ITA,14,Molise,41.55774754,14.65916051,8,0,8,4701,4709,-15,90,88088,683,,,93480,749046,702906,,0,,,28297,65183,491448,257598,ITF,ITF2
