data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-04-29T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,309,19,328,1648,1976,-14,24,632,315,2923,36614,27703,,
2020-04-29T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,51,4,55,139,194,-11,0,147,25,366,11331,11331,,
2020-04-29T17:00:00,ITA,04,P.A. Bolzano,46.49933453,11.35662422,119,14,133,712,845,-65,9,1388,274,2507,40218,18844,,
2020-04-29T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,107,6,113,640,753,-11,5,263,86,1102,34914,32961,,
2020-04-29T17:00:00,ITA,15,Campania,40.83956555,14.25084984,518,31,549,2233,2782,-20,30,1269,359,4410,73094,43449,,
2020-04-29T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,2527,226,2753,9109,11862,-141,263,9803,3512,25177,176865,118881,,
2020-04-29T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,134,12,146,1081,1227,-12,15,1498,285,3010,66769,42902,,
2020-04-29T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1445,130,1575,2960,4535,-27,78,1579,431,6545,133503,103435,,
2020-04-29T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,697,70,767,2809,3576,5,117,3161,1152,7889,47220,30669,,
2020-04-29T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,7120,634,7754,28368,36122,378,786,25333,13679,75134,365895,223952,,
2020-04-29T17:00:00,ITA,11,Marche,43.61675973,13.5188753,640,52,692,2655,3347,13,35,1964,899,6210,55905,37877,,
2020-04-29T17:00:00,ITA,14,Molise,41.55774754,14.65916051,17,1,18,175,193,-2,0,83,21,297,5910,5857,,
2020-04-29T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2637,202,2839,12682,15521,15,411,7337,3003,25861,151266,106179,,
2020-04-29T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,449,47,496,2431,2927,8,49,692,410,4029,60334,59801,,
2020-04-29T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,87,17,104,657,761,-11,5,413,116,1290,23299,21071,,
2020-04-29T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,415,34,449,1696,2145,2,20,763,232,3140,75360,71301,,
2020-04-29T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,576,139,715,4948,5663,-233,61,2802,827,9292,137482,106150,,
2020-04-29T17:00:00,ITA,04,P.A. Trento,46.06893511,11.12123097,165,22,187,1276,1463,-102,44,2190,416,4069,35008,20944,,
2020-04-29T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,77,16,93,168,261,-14,12,1064,66,1391,34937,24079,,
2020-04-29T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,78,5,83,52,135,-74,5,852,137,1124,7181,5337,,
2020-04-29T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1042,114,1156,7213,8369,-232,117,8019,1437,17825,337656,200737,,
