data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2021-01-13T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,468,40,508,10708,11216,79,314,25823,1300,,,38339,550152,280892,,5,,
2021-01-13T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,90,4,94,6642,6736,16,72,5177,284,,,12197,196701,123720,"Per ricalcolo del totale casi positivi, è stato eliminato n. 1 caso positivo comunicato in data 11 c.m. ",0,,
2021-01-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,284,25,309,9302,9611,-133,283,17604,521,,,27736,470340,449634,,3,,
2021-01-13T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1405,106,1511,70749,72260,-329,1098,127035,3257,,,202552,2180945,1452804,,7,,
2021-01-13T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2679,229,2908,55072,57980,-2212,1178,129073,8520,,,195573,2737403,1280780,,9,,
2021-01-13T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,665,69,734,12064,12798,-120,546,43008,1981,,,57787,1004009,359710,"79 casi già positivi al tampone antigenico sono risultati poi positivi al tampone molecolare e pertanto, in data odierna, vengono sottratti dal totale dei positivi al tampone antigenico ed aggiunti all'incremento dei positivi da tampone molecolare",8,,
2021-01-13T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2892,313,3205,75018,78223,-364,1612,101426,4259,,,183908,2866990,2117488,,21,,
2021-01-13T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,689,62,751,4251,5002,-26,395,56605,3064,,,64671,754313,336922,,5,I 188772 test antigenici rapidi sono riferiti a partire dal 02/11/2020;  in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,
2021-01-13T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,3651,462,4113,50850,54963,548,2245,424720,25954,,,505637,5109218,2694848,,19,,
2021-01-13T17:00:00,ITA,11,Marche,43.61675973,13.5188753,594,73,667,12491,13158,-1032,480,33234,1735,,,48127,591216,354258,,5,,
2021-01-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,55,9,64,1052,1116,-36,97,5901,219,,,7236,123555,112680,,3,,
2021-01-13T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,212,23,235,11440,11675,-21,269,19549,788,,,32012,383859,168457,,0,,
2021-01-13T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,320,44,364,1624,1988,15,175,21093,1037,,,24118,474659,155952,,4,,"Dei 175 casi odierni, 65 sono molecolari con precedente antigenico positivo"
2021-01-13T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2605,172,2777,11983,14760,-10,1009,186443,8278,,,209481,1760650,1017635,,5,,
2021-01-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1406,165,1571,53907,55478,228,1082,46345,2755,,,104578,1143261,695988,,3,,
2021-01-13T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,532,47,579,16868,17447,34,233,16357,865,,,34669,516015,431661,,4,,Si segnala il decesso dei pz.:  - 1 uomo 89 aa deceduto in pronto soccorso a Cagliari	  - 1 uomo 67 aa residente nella provincia del Sud Sardegna	  - 1 donna 88 aa residente nella provincia del Sud Sardegna	  - 1 uomo 51 aa residente nella provincia del Sud Sardegna	  - 1 uomo 95 aa residente nella provincia del Sud Sardegna	  - 1 uomo 80 aa residente nella provincia del Sud Sardegna	  - 1 uomo 71 aa residente nella provincia del Sud Sardegna	  - 6 deceduti nella provincia di Nuoro	  - 1 uomo 69 aa residente nella provincia di Sassari	 - 1 donna 80 aa residente nella provincia di Sassari 
2021-01-13T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1371,208,1579,43098,44677,639,1969,66006,2841,,,113524,1333247,881698,,14,,
2021-01-13T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,738,140,878,7948,8826,103,507,113398,3916,,,126140,1988970,1099685,,6,"Positivi diagnosticati solo con test antigenico rapido: in questo momento non è procedura adottatata da Regione Toscana, pertanto il valore è pari a zero",
2021-01-13T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,275,50,325,4145,4470,122,307,26321,676,,,31467,536852,263178,,0,,
2021-01-13T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,43,2,45,375,420,-12,19,6753,392,,,7565,65735,40123,,1,,
2021-01-13T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,2551,336,2887,79083,81970,-2755,1884,202065,7684,,,291719,3512029,1269858,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato n.47 dimissioni da TI invece delle 52 effettive che includono anche i negativizzati.,43,,
