data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,658,74,732,14130,14862,472,649,6259,721,9825,12017,21842,362295,215944,,,,
2020-11-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,147,28,175,4587,4762,258,271,1020,101,1925,3958,5883,134214,133335,TOTALI TAMPONI EFFETTUATI/CASI TESTATI E TOTALE CASI POSITIVI RESIDENTI IN REGIONE BASILICATA IN CORSO DI REVISIONE.,,,
2020-11-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,395,47,442,8536,8978,447,506,3332,202,1486,11026,12512,334533,327394,,,,
2020-11-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,2287,194,2481,93705,96186,1047,3334,27898,1192,122562,2714,125276,1355455,956035,,,,
2020-11-19T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2489,244,2733,58276,61009,1690,2160,31587,5218,62529,35285,97814,1935478,1003409,,,,
2020-11-19T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,485,48,533,11112,11645,891,1197,9697,580,18558,3364,21922,643492,259446,A seguito delle comunicazioni pervenute dai laboratori privati i nuovi casi includono 196 positività comprese nel periodo dal 28 ottobre al 15 novembre,,,
2020-11-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3103,329,3432,72109,75541,2050,2697,17361,1880,27660,67122,94782,1933649,1570432,,,,
2020-11-19T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,1319,119,1438,15589,17027,259,792,26789,2178,31765,14229,45994,548215,273332,,,,
2020-11-19T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,8291,915,9206,146374,155580,3497,7453,172847,20015,261506,86936,348442,3682509,2208742,,,,
2020-11-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,526,78,604,14252,14856,103,667,9095,1150,19186,5915,25101,381419,222600,,,,
2020-11-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,66,8,74,2125,2199,132,154,1237,84,3470,50,3520,79299,74113,,,,
2020-11-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,469,39,508,10696,11204,303,696,7739,438,19381,0,19381,285421,141552,TOTALE TEST ANTIGENICI RAPIDI EFFETTUATI : 2771 TOTALE TEST ANTIGENICI RAPIDI POSITIVI : 256  TOTALE POSITIVI AL TEST ANTIGENICO E SINTOMATICI : 82,,,
2020-11-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,407,39,446,2540,2986,126,266,9985,556,7096,6431,13527,340985,125144,,,,
2020-11-19T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,5147,390,5537,71700,77237,2173,5349,57609,5331,58272,81905,140177,1364685,865428,Il numero è sensibilmente superiore alla media giornaliera di tamponi effettuati in Piemonte perché include il caricamento di una quota di dati relativa agli screening effettuati nei giorni scorsi all’interno delle RSA.,,,
2020-11-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1324,200,1524,26976,28500,886,1263,9734,1113,10933,28414,39347,692721,491204,,,,
2020-11-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,517,67,584,10808,11392,347,479,5243,362,6955,10042,16997,335643,283137,,,,
2020-11-19T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1532,240,1772,31809,33581,1479,1871,13763,1055,30124,18275,48399,856483,590160,,,,
2020-11-19T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1814,287,2101,52023,54124,14,1972,32480,2073,69971,18706,88677,1403341,888853,effettuati  54517 tamponi rapidi antigenici di cui 3616 odierni,,,
2020-11-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,369,75,444,10941,11385,111,556,8889,293,5727,14840,20567,377286,210121,,,,
2020-11-19T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,144,12,156,1879,2035,-58,91,3371,271,5042,635,5677,52636,30688,,,,
2020-11-19T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,2121,279,2400,64182,66582,2276,3753,43052,3057,28879,83812,112691,2624768,1011752,"Tamponi antigenici 688.104 numero di soggetti che hanno effettuato almeno un tampone molecolare o un tampone rapido 1.290.299",,,
