data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi
2020-11-30T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,714,76,790,17402,18192,152,556,8939,893,18812,9212,28024,411685,237280,"Dal totale dei casi positivi è stato sottratto 1 caso dei giorni passati, in quanto caso duplicato. Inoltre è stato aggiornato il dato relativo ai ricoverati NON in t.i. che ieri domenica era stato sottostimato di 29 unità. Per adeguarci a quanto richiesto dal Ministero per il nuovo report di monitoraggio, la distinzione dei casi positivi (tra sospetto diagnostico e casi da screening) è in fase di revisione.",,,
2020-11-30T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,150,22,172,6020,6192,10,92,1797,153,2458,5684,8142,151705,150830,,,,
2020-11-30T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,400,42,442,10528,10970,-54,270,5449,295,1594,15120,16714,364247,354571,,,,
2020-11-30T17:00:00,ITA,15,Campania,40.83956555,14.25084984,2141,182,2323,102204,104527,-259,1626,49119,1673,152235,3084,155319,1586159,1083728,,,,
2020-11-30T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2755,249,3004,68730,71734,1505,2041,45586,5753,75472,47601,123073,2120489,1079854,,,,
2020-11-30T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,633,55,688,13827,14515,206,575,15297,838,26263,4387,30650,720175,281701,,,,
2020-11-30T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3384,350,3734,86467,90201,489,1589,27212,2367,33635,86145,119780,2214307,1799351,,,,
2020-11-30T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,997,113,1110,11106,12216,-390,236,37081,2387,34778,16906,51684,600386,290739,,,,
2020-11-30T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,7433,906,8339,117069,125408,-7219,1929,260528,21855,299979,107812,407791,4072678,2349286,,,,
2020-11-30T17:00:00,ITA,11,Marche,43.61675973,13.5188753,585,87,672,17244,17916,220,252,10626,1264,23205,6601,29806,411597,239816,,,,
2020-11-30T17:00:00,ITA,14,Molise,41.55774754,14.65916051,62,14,76,2644,2720,75,87,1875,118,4663,50,4713,91865,85198,,,,
2020-11-30T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,428,37,465,10857,11322,-15,183,11924,531,23777,0,23777,311399,149001,TEST ANTIGENICI POSITIVI : 15,,,
2020-11-30T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,415,44,459,1989,2448,129,176,12631,654,7880,7853,15733,375814,135274,,,,
2020-11-30T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,4737,388,5125,69818,74943,-2041,1185,86334,6239,70013,97503,167516,1558737,961035,,,,
2020-11-30T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1692,209,1901,36871,38772,528,1102,14065,1483,15777,38543,54320,784515,541174,per 1641 casi non e' disponibile la provenienza,,,
2020-11-30T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,580,70,650,12878,13528,129,329,7503,444,9266,12209,21475,372806,313019,,,,
2020-11-30T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1547,226,1773,38851,40624,140,1138,21507,1555,38536,25150,63686,959923,654885,,,,
2020-11-30T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1584,278,1862,40164,42026,-1518,893,58774,2641,78969,24472,103441,1568208,958389,effettuati  84798 tamponi rapidi antigenici di cui 1027 odierni,,,
2020-11-30T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,366,65,431,7804,8235,-208,68,15166,407,6620,17188,23808,416530,224790,"Si fa presente come dei 13 decessi odierni, 6 fanno riferimento a date precedenti rispetto a ieri",,,
2020-11-30T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,124,11,135,1182,1317,-133,47,4878,315,5798,712,6510,60435,33903,,,,
2020-11-30T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,2460,320,2780,77885,80665,954,2003,61216,3711,36847,108745,145592,2791439,1062810,Tamponi antigenici 960785 numero di soggetti che hanno effettuato almeno un tampone molecolare o un tampone rapido 1383679,,,
