data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-03-13T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,649,94,743,11893,12636,-274,320,45235,1894,,,59765,1119402,543997,Dal totale dei positivi è stato eliminato un caso in quanto paziente non covid.,9,,,59765,0,811238,308164,ITF,ITF1
2021-03-13T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,122,14,136,3892,4028,96,137,12929,386,,,17343,270303,157618,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 13 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",0,,,17343,0,258806,11497,ITF,ITF5
2021-03-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,244,32,276,7135,7411,191,275,32750,724,,,40885,616909,581330,,1,,,40879,6,602948,13961,ITF,ITF6
2021-03-13T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1547,150,1697,94435,96132,1228,2940,200386,4655,,,301173,3228749,2216654,,20,,,290790,10383,3069463,159286,ITF,ITF3
2021-03-13T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,3254,354,3608,60879,64487,1870,2950,220812,11025,,,296324,4317841,1592539,"Sono stati eliminati 26 casi, positivi a test antigenico ma non confermati da tampone molecolare.",33,,,296144,180,3670207,647634,ITH,ITH5
2021-03-13T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,504,65,569,13606,14175,434,953,68368,3000,,,85543,1460244,522935,,11,,,77277,8266,1328053,132191,ITH,ITH4
2021-03-13T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,2172,278,2450,39055,41505,1191,1998,206306,6173,,,253984,4567128,3090317,,20,,,250328,3656,3583258,983870,ITI,ITI4
2021-03-13T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,512,64,576,5653,6229,38,307,72366,3728,,,82323,1120022,473756,,4,,in Regione Liguria la positività al test antigenico rapido è seguita da conferma con test molecolare.,82323,0,981821,138201,ITC,ITC3
2021-03-13T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,6068,694,6762,87731,94493,1768,5809,539052,29159,,,662704,7288380,3296269,,54,,,643597,19107,6688718,599662,ITC,ITC4
2021-03-13T17:00:00,ITA,11,Marche,43.61675973,13.5188753,695,118,813,10250,11063,205,1000,64101,2395,,,77559,912707,557484,,15,,,77559,0,829299,83408,ITI,ITI3
2021-03-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,101,18,119,1461,1580,20,104,9598,397,,,11575,172869,156640,,0,,,11575,0,172576,293,ITF,ITF2
2021-03-13T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,155,36,191,4028,4219,-134,183,50943,1079,,,56241,944072,200838,"Numero di test AG non confermati da test PCR: 4 , che vengono sottratti ai casi confermati da test AG.",2,,,44483,11758,511527,432545,ITH,ITH1
2021-03-13T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,192,45,237,3948,4185,46,239,32096,1236,,,37517,652495,177169,,1,,,28774,8743,573889,78606,ITH,ITH2
2021-03-13T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,2790,251,3041,25636,28677,1038,2159,233612,9660,,,271949,2883525,1366697,,25,,,262860,9089,2199408,684117,ITC,ITC1
2021-03-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1442,175,1617,36750,38367,1061,1700,121389,4260,,,164016,1682730,925360,,13,,,163232,784,1612424,70306,ITF,ITF4
2021-03-13T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,173,26,199,12590,12789,29,103,28377,1195,,,42361,842079,557286,,4,,Si segnala il decesso dei paz.:  - 1 uomo 76 aa Residente nella Provincia del Sud Sardegna  - 1 uomo 85 aa Residente nella Provincia di Nuoro  - 1 uomo 70 aa Residente nella Provincia di Sassari ,42345,16,665437,176642,ITG,ITG2
2021-03-13T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,684,99,783,13087,13870,74,650,141993,4331,,,160194,2753838,1191491,,5,,,160194,0,1849759,904079,ITG,ITG1
2021-03-13T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1332,217,1549,22180,23729,535,1326,143026,4922,,,171677,3022670,1597260,,16,,,170574,1103,2652952,369718,ITI,ITI1
2021-03-13T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,391,80,471,5681,6152,-209,196,40408,1147,,,47707,889113,324742,"Si fa presente che 7 dei ricoveri NON UTI, non rientrano nei codici disciplina COVID e pertanto vengono collocati in ""Altra Struttura"". ",7,,,47707,0,737818,151295,ITI,ITI2
2021-03-13T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,15,2,17,255,272,25,31,7582,417,,,8271,83088,46415,,0,,,8271,0,76952,6136,ITC,ITC2
2021-03-13T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1111,170,1281,32781,34062,1512,2682,308567,10098,,,352727,5521174,1458362,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato 12   dimessi da TI  invece del n. 13 effettivo che include anche i negativizzati.,30,,,346024,6703,4230649,1290525,ITH,ITH3
