data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2022-05-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,257,12,269,28924,29193,-562,944,366466,3282,,,398941,6002039,1239940,Dal totale dei casi positivi sono stati eliminati 2 casi in quanto duplicati. Nota informativa: Del totale dei decessi comunicati in data odierna 3 appartengono ai giorni scorsi.,3,,,187950,210991,2307767,3694272,ITF,ITF1
2022-05-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,74,1,75,28623,28698,-85,310,105784,912,,,135394,1045470,350105,"Il numero totale dei decessi ne comprende n. 34 a carico di pazienti non residenti, deceduti in strutture ospedaliere della Regione Basilicata.",0,,,66461,68933,662382,383088,ITF,ITF5
2022-05-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,188,12,200,57384,57584,-2233,953,321414,2572,,,381570,3068849,2335823,,4,,"L'ASP di Cosenza comunica 355 nuovi soggetti positivi di cui 3 fuori regione. Inoltre, specifica che dei tre Dei 3 decessi comunicati oggi, 2 sono avvenuti in reparto ed 1 decesso è avvenuto a domicilio il 04/01/2022 e se ne è avuta notizia oggi. L'ASP di Catanzaro comunica 208 nuovi soggetti positivi di cui 2 fuori regione.",184796,196774,1671508,1397341,ITF,ITF6
2022-05-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,528,34,562,142977,143539,-1412,3130,1530916,10438,,,1684893,16457941,4930715,,2,,"a seguito delle verifiche quotidiane si evince che un decesso registrato oggi, risale al giorno 15/05/2022",908338,776555,8735244,7722697,ITF,ITF3
2022-05-19T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,1074,32,1106,34423,35529,-2349,2703,1416213,16839,,,1468581,16050043,2749013,"Sono stati eliminati 5 casi, comunicati nei giorni precedenti, in quanto giudicati non casi COVID-19.",2,,,937923,530658,9220309,6829734,ITH,ITH5
2022-05-19T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,132,0,132,22218,22350,-78,567,348022,5078,,,375450,6473251,1138972,Il totale dei casi positivi è stato ridotto di 2 a seguito di un tampone molecolare negativo dopo test antigenico positivo (caso relativo alla provincia di TS) e a seguito di un test positivo rimosso dopo revisione del caso (caso relativo alla provincia di PN). ,0,,,200823,174627,3357488,3115763,ITH,ITH4
2022-05-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,784,46,830,139012,139842,-488,3038,1398932,11272,,,1550046,21108409,5670255,,2,,,979215,570831,8763811,12344598,ITI,ITI4
2022-05-19T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,193,8,201,10525,10726,-369,775,427959,5311,,,443996,5501430,1322501,,0,,*di cui 15381 reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,235187,208809,2454858,3046572,ITC,ITC3
2022-05-19T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,863,37,900,125012,125912,-4944,3980,2696014,40369,,,2862295,37430608,8282255,,3,,,1413955,1448340,15943905,21486703,ITC,ITC4
2022-05-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,111,3,114,4399,4513,-125,946,458476,3883,,,466872,3084607,2083310,,0,,,215195,251677,1977444,1107163,ITI,ITI3
2022-05-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,20,2,22,6884,6906,-745,174,57142,625,,,64673,622404,579494,,0,,,25680,38993,430512,191892,ITF,ITF2
2022-05-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,35,0,35,2747,2782,-70,225,212117,1474,,,216373,5123942,831676,"225 nuovi positivi di cui 1 test antigenici confermati da test molecolare, 215 casi diagnosticati con test antigenico e 9 nuovi positivi al test PCR.",0,,"225 nuovi positivi di cui 1 test antigenici confermati da test molecolare, 215 casi diagnosticati con test antigenico e 9 nuovi positivi al test PCR.",84428,131945,883138,4240804,ITH,ITH1
2022-05-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,42,3,45,2471,2516,-30,206,162087,1560,,,166163,2621694,558938,,0,,,43327,122836,841042,1780652,ITH,ITH2
2022-05-19T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,515,20,535,33413,33948,-345,1820,1138063,13405,,,1185416,17311893,3979524,,3,,,502370,683046,4935738,12376155,ITC,ITC1
2022-05-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,395,22,417,45164,45581,-41035,1868,1062813,8433,,,1116827,10884285,2369506,,1,,,483778,633049,4354080,6530205,ITF,ITF4
