data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2023-03-28T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,52,1,53,9648,9701,29,132,639983,3946,,,653630,7436937,1368116,"Sulla Nota informativa dell'ISS è stata aggiunta la seguente annotazione ""Il dato ""Incremento casi confermati"" è composto da 132 , cioè 93 ""Nuovi positivi"" e 39 reinfezioni"".",0,,,248799,404831,2595347,4841590,ITF,ITF1
2023-03-28T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,11,0,11,8118,8129,8,15,190813,1022,,,199964,1333536,403188,Il dato relativo al numero dei “Casi in isolamento domiciliare” ed ai “Guariti” è in corso di revisione.,0,,,71172,128792,702012,631524,ITF,ITF5
2023-03-28T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,71,4,75,610,685,-3,93,629275,3371,,,633331,4285392,3323648,,1,,,202071,431260,1901421,2383971,ITF,ITF6
2023-03-28T17:00:00,ITA,15,Campania,40.83956555,14.25084984,182,7,189,19685,19874,-955,447,2419905,11834,,,2451613,20643661,5391585,,0,,,954638,1496975,9560938,11082723,ITF,ITF3
2023-03-28T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,405,22,427,3045,3472,44,192,2119846,19340,,,2142658,19411939,2972065,"Si segnala, che in seguito a un controllo, oggi sono stati segnalati 4 casi in meno attribuiti alla provincia di Reggio Emilia.",4,,,1091011,1051647,10669250,8742689,ITH,ITH5
2023-03-28T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,96,4,100,670,770,58,130,570223,6040,,,577033,7703394,1257175,,1,,,239371,337662,3838132,3865262,ITH,ITH4
2023-03-28T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,339,15,354,19105,19459,111,530,2364752,12842,,,2397053,26322726,6124617,,0,,,1037988,1359065,9679295,16643431,ITI,ITI4
2023-03-28T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,100,5,105,496,601,21,150,656613,5897,,,663111,6896425,1512505,,0,,*di cui 50814  reinfezioni a partire dal 3/09/2021 [circ. min sal. n.37911 del 20/08/2021].,284289,378822,2693502,4202923,ITC,ITC3
2023-03-28T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,231,3,234,5004,5238,-182,1108,4083459,45726,,,4134423,45317274,9213717,,0,,,1537505,2596918,17066537,28250737,ITC,ITC4
2023-03-28T17:00:00,ITA,11,Marche,43.61675973,13.5188753,23,0,23,251,274,-7,53,710731,4415,,,715420,3733175,2730883,,0,,,222925,492495,2018392,1714783,ITI,ITI3
