data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2021-04-08T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,585,71,656,9631,10287,-110,277,54656,2212,,,67155,1286718,587769,Il numero dei deceduti comunicati oggi comprende 3 decessi relativi a periodo precedente.,3,,,67155,0,921041,365677,ITF,ITF1
2021-04-08T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,169,10,179,4807,4986,67,163,14899,475,,,20360,303078,172219,"IL NUMERO TOTALE DEI DECESSI COMPRENDE 17 PAZIENTI NON RESIDENTI, DECEDUTI  IN STRUTTURE OSPEDALIERE DELLA REGIONE BASILICATA. ",1,,,20360,0,290432,12646,ITF,ITF5
2021-04-08T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,448,38,486,11303,11789,346,503,37427,883,,,50099,691819,648897,,3,,,50086,13,670420,21399,ITF,ITF6
2021-04-08T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1605,148,1753,89258,91011,-96,1933,254178,5703,,,350892,3758573,2529371,,16,,,339304,11588,3510824,247749,ITF,ITF3
2021-04-08T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,3051,352,3403,65452,68855,-120,1075,265694,12271,,,346820,5044615,1704348,"Sono stati eliminati 8 casi, positivi a test antigenico ma non confermati da tampone molecolare.",22,,,346582,238,4102303,942312,ITH,ITH5
2021-04-08T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,554,77,631,11609,12240,-722,457,84780,3453,,,100473,1685439,599265,,5,,,87212,13261,1479581,205858,ITH,ITH4
2021-04-08T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3228,382,3610,48570,52180,-631,1240,238105,6932,,,297217,5406870,3552678,,20,,,291103,6114,3964210,1442660,ITI,ITI4
2021-04-08T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,676,79,755,6973,7728,-244,387,81103,3935,,,92766,1289581,536947,,6,,,92766,0,1089065,200516,ITC,ITC3
2021-04-08T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,6501,830,7331,74664,81995,-298,2537,644850,31503,,,758348,8514418,3578375,,56,,,720593,37755,7525516,988902,ITC,ITC4
2021-04-08T17:00:00,ITA,11,Marche,43.61675973,13.5188753,755,138,893,7441,8334,8,490,80139,2737,,,91210,1040658,628718,,7,,,91210,0,935434,105224,ITI,ITI3
2021-04-08T17:00:00,ITA,14,Molise,41.55774754,14.65916051,54,14,68,567,635,-38,24,11391,454,,,12480,188375,170000,,1,,,12480,0,188082,293,ITF,ITF2
2021-04-08T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,74,17,91,488,579,5,124,68037,1149,,,69765,1193345,370361,Il dato Casi confermati da test antigenico in data odierna è stato ottenuto sottraendo i pazienti positivi al test antigenico ma negativi al test molecolare eseguito entro 3 giorni per un totale pari a: 4 ,2,,,56722,13043,536713,656632,ITH,ITH1
2021-04-08T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,157,46,203,1846,2049,-228,164,38758,1307,,,42114,719223,186387,,1,,,31017,11097,611648,107575,ITH,ITH2
2021-04-08T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,3800,346,4146,26247,30393,-1129,1661,281158,10588,,,322139,3494607,1564691,,16,,,306712,15427,2468642,1025965,ITC,ITC1
2021-04-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,2020,256,2276,48479,50755,26,1974,149726,5095,,,205576,1963363,1043395,,26,,,204584,992,1853704,109659,ITF,ITF4
2021-04-08T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,302,49,351,15848,16199,209,305,30481,1255,,,47935,1049497,622693,,3,,Si segnala il decesso dei paz.:  - 1 donna 87 aa Residente nella Provincia di Sassari  - 1 uomo 84 aa Residente nella Provincia di Oristano  - 1 uomo 81 aa Residente nella Provincia del Sud Sardegna  - 1 uomo 93 aa Residente nella Provincia del Sud Sardegna  - 1 uomo 71 aa Residente nella Provincia di Nuoro ,47918,17,743625,305872,ITG,ITG2
2021-04-08T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1119,164,1283,25244,26527,1181,1287,151349,4757,,,182633,3302985,1304623, ,19,"Persone testate, si comunica che il dato odierno è riferito al totale dei soggetti testati nelle ultime 24h con tampone molecolare con esito positivo e negativo",,182633,0,2072684,1230301,ITG,ITG1
2021-04-08T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1707,285,1992,26211,28203,-149,1153,171726,5571,,,205500,3616539,1836475,,20,,,203233,2267,3026407,590132,ITI,ITI1
2021-04-08T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,294,44,338,3996,4334,-125,172,46336,1286,,,51956,1025924,343140,"Si fa presente che 5 dei ricoveri NON UTI, non rientrano nei codici disciplina COVID e pertanto vengono collocati in ""Altra Struttura"".",5,,,51956,0,806114,219810,ITI,ITI2
2021-04-08T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,59,12,71,1041,1112,-61,54,8324,434,,,9870,101443,53998,,2,,,9553,317,83534,17909,ITC,ITC2
2021-04-08T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1693,305,1998,32141,34139,-1398,1241,347294,10861,,,392294,6440831,1590929,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato 19 dimessi da TI  invece del n.  21  effettivo che include anche i negativizzati.,25,,,382756,9538,4674877,1765954,ITH,ITH3
